,genre,mood,title
0,thriller,spooky,Toy Story (1995)
1,mystery,romantic,Jumanji (1995)
2,western,reflective,Grumpier Old Men (1995)
3,horror,gloomy,Waiting to Exhale (1995)
4,romance,energetic,Father of the Bride Part II (1995)
5,mystery,romantic,Heat (1995)
6,horror,cheerful,Sabrina (1995)
7,thriller,dreamy,Tom and Huck (1995)
8,thriller,wild,Sudden Death (1995)
9,mystery,dreamy,GoldenEye (1995)
10,mystery,reflective,"American President, The (1995)"
11,mystery,energetic,Dracula: Dead and Loving It (1995)
12,drama,romantic,Balto (1995)
13,comedy,energetic,Nixon (1995)
14,thriller,spooky,Cutthroat Island (1995)
15,comedy,reflective,Casino (1995)
16,action,gloomy,Sense and Sensibility (1995)
17,drama,energetic,Four Rooms (1995)
18,comedy,romantic,Ace Ventura: When Nature Calls (1995)
19,comedy,mysterious,Money Train (1995)
20,horror,romantic,Get Shorty (1995)
21,thriller,gloomy,Copycat (1995)
22,western,energetic,Assassins (1995)
23,horror,mysterious,Powder (1995)
24,thriller,mysterious,Leaving Las Vegas (1995)
25,drama,romantic,Othello (1995)
26,fantasy,romantic,Now and Then (1995)
27,romance,mysterious,Persuasion (1995)
28,drama,energetic,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
29,romance,dreamy,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
30,drama,reflective,Dangerous Minds (1995)
31,horror,mysterious,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
32,drama,gloomy,Babe (1995)
33,thriller,spooky,Dead Man Walking (1995)
34,comedy,gloomy,It Takes Two (1995)
35,horror,gloomy,Clueless (1995)
36,thriller,romantic,"Cry, the Beloved Country (1995)"
37,romance,reflective,Richard III (1995)
38,action,dreamy,Dead Presidents (1995)
39,action,spooky,Restoration (1995)
40,fantasy,mysterious,Mortal Kombat (1995)
41,romance,cheerful,To Die For (1995)
42,romance,reflective,How to Make an American Quilt (1995)
43,action,spooky,Seven (a.k.a. Se7en) (1995)
44,fantasy,energetic,Pocahontas (1995)
45,fantasy,wild,When Night Is Falling (1995)
46,drama,energetic,"Usual Suspects, The (1995)"
47,mystery,gloomy,Mighty Aphrodite (1995)
48,horror,cheerful,Lamerica (1994)
49,mystery,mysterious,"Big Green, The (1995)"
50,horror,gloomy,Georgia (1995)
51,thriller,romantic,Home for the Holidays (1995)
52,action,dreamy,"Postman, The (Postino, Il) (1994)"
53,mystery,dreamy,"Indian in the Cupboard, The (1995)"
54,action,romantic,Eye for an Eye (1996)
55,western,cheerful,Mr. Holland's Opus (1995)
56,action,energetic,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
57,horror,romantic,Two if by Sea (1996)
58,comedy,wild,Bio-Dome (1996)
59,thriller,wild,Lawnmower Man 2: Beyond Cyberspace (1996)
60,comedy,spooky,French Twist (Gazon maudit) (1995)
61,mystery,dreamy,Friday (1995)
62,romance,reflective,From Dusk Till Dawn (1996)
63,mystery,energetic,Fair Game (1995)
64,action,dreamy,Kicking and Screaming (1995)
65,romance,wild,"Misérables, Les (1995)"
66,drama,mysterious,Bed of Roses (1996)
67,action,gloomy,Big Bully (1996)
68,action,romantic,Screamers (1995)
69,fantasy,energetic,Nico Icon (1995)
70,mystery,romantic,"Crossing Guard, The (1995)"
71,thriller,reflective,"Juror, The (1996)"
72,drama,wild,"White Balloon, The (Badkonake sefid) (1995)"
73,fantasy,energetic,Things to Do in Denver When You're Dead (1995)
74,comedy,reflective,Antonia's Line (Antonia) (1995)
75,action,spooky,Once Upon a Time... When We Were Colored (1995)
76,action,energetic,Angels and Insects (1995)
77,thriller,mysterious,White Squall (1996)
78,western,dreamy,Dunston Checks In (1996)
79,thriller,reflective,Black Sheep (1996)
80,romance,reflective,Nick of Time (1995)
81,mystery,gloomy,Mary Reilly (1996)
82,drama,wild,Vampire in Brooklyn (1995)
83,thriller,romantic,Beautiful Girls (1996)
84,fantasy,cheerful,Broken Arrow (1996)
85,western,dreamy,In the Bleak Midwinter (1995)
86,mystery,reflective,"Hate (Haine, La) (1995)"
87,comedy,spooky,Heidi Fleiss: Hollywood Madam (1995)
88,drama,cheerful,City Hall (1996)
89,drama,gloomy,Bottle Rocket (1996)
90,western,energetic,Mr. Wrong (1996)
91,action,energetic,Unforgettable (1996)
92,comedy,spooky,Happy Gilmore (1996)
93,romance,cheerful,"Bridges of Madison County, The (1995)"
94,romance,mysterious,Nobody Loves Me (Keiner liebt mich) (1994)
95,western,mysterious,Muppet Treasure Island (1996)
96,thriller,dreamy,Catwalk (1996)
97,romance,spooky,Braveheart (1995)
98,drama,cheerful,Taxi Driver (1976)
99,drama,mysterious,Rumble in the Bronx (Hont faan kui) (1995)
100,horror,mysterious,Before and After (1996)
101,comedy,spooky,Anne Frank Remembered (1995)
102,western,gloomy,"Young Poisoner's Handbook, The (1995)"
103,horror,gloomy,If Lucy Fell (1996)
104,thriller,mysterious,"Steal Big, Steal Little (1995)"
105,fantasy,energetic,"Boys of St. Vincent, The (1992)"
106,romance,energetic,Boomerang (1992)
107,action,dreamy,Chungking Express (Chung Hing sam lam) (1994)
108,mystery,romantic,Flirting With Disaster (1996)
109,horror,gloomy,"NeverEnding Story III, The (1994)"
110,romance,reflective,Jupiter's Wife (1994)
111,fantasy,dreamy,Pie in the Sky (1996)
112,western,cheerful,Jade (1995)
113,thriller,cheerful,Down Periscope (1996)
114,drama,spooky,Man of the Year (1995)
115,comedy,romantic,Up Close and Personal (1996)
116,horror,energetic,"Birdcage, The (1996)"
117,fantasy,dreamy,"Brothers McMullen, The (1995)"
118,fantasy,gloomy,Bad Boys (1995)
119,action,spooky,"Amazing Panda Adventure, The (1995)"
120,fantasy,wild,"Basketball Diaries, The (1995)"
121,western,spooky,"Awfully Big Adventure, An (1995)"
122,drama,energetic,Amateur (1994)
123,romance,romantic,Apollo 13 (1995)
124,comedy,dreamy,Rob Roy (1995)
125,western,energetic,"Addiction, The (1995)"
126,western,dreamy,Batman Forever (1995)
127,comedy,romantic,Beauty of the Day (Belle de jour) (1967)
128,comedy,dreamy,Beyond Rangoon (1995)
129,romance,reflective,Blue in the Face (1995)
130,mystery,reflective,Canadian Bacon (1995)
131,western,cheerful,Casper (1995)
132,thriller,mysterious,Clockers (1995)
133,drama,dreamy,Congo (1995)
134,mystery,dreamy,Crimson Tide (1995)
135,western,mysterious,Crumb (1994)
136,drama,wild,Desperado (1995)
137,western,cheerful,Devil in a Blue Dress (1995)
138,drama,gloomy,Die Hard: With a Vengeance (1995)
139,action,gloomy,"Doom Generation, The (1995)"
140,mystery,energetic,First Knight (1995)
141,mystery,romantic,Free Willy 2: The Adventure Home (1995)
142,fantasy,reflective,Hackers (1995)
143,action,mysterious,Jeffrey (1995)
144,action,spooky,Johnny Mnemonic (1995)
145,action,reflective,Judge Dredd (1995)
146,horror,gloomy,Jury Duty (1995)
147,mystery,reflective,Kids (1995)
148,thriller,dreamy,Living in Oblivion (1995)
149,comedy,mysterious,Lord of Illusions (1995)
150,action,energetic,Love & Human Remains (1993)
151,horror,energetic,Mad Love (1995)
152,action,energetic,Mallrats (1995)
153,horror,reflective,Mighty Morphin Power Rangers: The Movie (1995)
154,fantasy,energetic,Mute Witness (1994)
155,horror,cheerful,Nadja (1994)
156,horror,energetic,"Net, The (1995)"
157,comedy,spooky,Nine Months (1995)
158,comedy,dreamy,Party Girl (1995)
159,drama,romantic,"Prophecy, The (1995)"
160,romance,spooky,Reckless (1995)
161,romance,cheerful,Safe (1995)
162,thriller,romantic,"Scarlet Letter, The (1995)"
163,romance,spooky,Showgirls (1995)
164,western,reflective,Smoke (1995)
165,romance,romantic,Something to Talk About (1995)
166,thriller,spooky,Species (1995)
167,western,reflective,Strange Days (1995)
168,thriller,dreamy,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"
169,action,gloomy,Three Wishes (1995)
170,comedy,spooky,Total Eclipse (1995)
171,thriller,cheerful,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
172,horror,mysterious,Under Siege 2: Dark Territory (1995)
173,drama,energetic,Unstrung Heroes (1995)
174,action,spooky,Unzipped (1995)
175,comedy,romantic,"Walk in the Clouds, A (1995)"
176,fantasy,wild,Waterworld (1995)
177,western,spooky,White Man's Burden (1995)
178,western,wild,Wild Bill (1995)
179,horror,dreamy,"Browning Version, The (1994)"
180,western,spooky,Bushwhacked (1995)
181,comedy,wild,Burnt by the Sun (Utomlyonnye solntsem) (1994)
182,thriller,mysterious,Before the Rain (Pred dozhdot) (1994)
183,action,dreamy,Before Sunrise (1995)
184,horror,spooky,Billy Madison (1995)
185,romance,dreamy,"Babysitter, The (1995)"
186,action,reflective,Boys on the Side (1995)
187,action,mysterious,"Cure, The (1995)"
188,horror,reflective,Castle Freak (1995)
189,drama,mysterious,Circle of Friends (1995)
190,action,mysterious,Clerks (1994)
191,horror,romantic,Don Juan DeMarco (1995)
192,drama,wild,Disclosure (1994)
193,mystery,gloomy,Drop Zone (1994)
194,thriller,reflective,Destiny Turns on the Radio (1995)
195,comedy,reflective,Death and the Maiden (1994)
196,action,mysterious,Dolores Claiborne (1995)
197,mystery,dreamy,Dumb & Dumber (Dumb and Dumber) (1994)
198,mystery,energetic,Eat Drink Man Woman (Yin shi nan nu) (1994)
199,thriller,reflective,Exotica (1994)
200,action,romantic,Exit to Eden (1994)
201,western,mysterious,Ed Wood (1994)
202,horror,gloomy,French Kiss (1995)
203,romance,wild,Forget Paris (1995)
204,comedy,wild,Far From Home: The Adventures of Yellow Dog (1995)
205,comedy,wild,"Goofy Movie, A (1995)"
206,thriller,energetic,Hideaway (1995)
207,thriller,wild,Fluke (1995)
208,drama,spooky,Farinelli: il castrato (1994)
209,comedy,cheerful,Gordy (1995)
210,romance,wild,Hoop Dreams (1994)
211,western,mysterious,Heavenly Creatures (1994)
212,thriller,mysterious,Houseguest (1994)
213,action,romantic,Immortal Beloved (1994)
214,thriller,energetic,Heavyweights (Heavy Weights) (1995)
215,fantasy,romantic,"Hunted, The (1995)"
216,drama,spooky,I.Q. (1994)
217,drama,spooky,Interview with the Vampire: The Vampire Chronicles (1994)
218,thriller,cheerful,Jefferson in Paris (1995)
219,fantasy,romantic,"Jerky Boys, The (1995)"
220,fantasy,dreamy,Junior (1994)
221,thriller,wild,Just Cause (1995)
222,romance,cheerful,"Kid in King Arthur's Court, A (1995)"
223,action,gloomy,Kiss of Death (1995)
224,comedy,cheerful,Star Wars: Episode IV - A New Hope (1977)
225,comedy,spooky,Little Women (1994)
226,comedy,energetic,"Little Princess, A (1995)"
227,drama,spooky,Ladybird Ladybird (1994)
228,fantasy,energetic,Like Water for Chocolate (Como agua para chocolate) (1992)
229,comedy,mysterious,Legends of the Fall (1994)
230,horror,romantic,Major Payne (1995)
231,fantasy,gloomy,My Crazy Life (Mi vida loca) (1993)
232,fantasy,gloomy,Love Affair (1994)
233,western,gloomy,Losing Isaiah (1995)
234,horror,energetic,"Madness of King George, The (1994)"
235,fantasy,energetic,Mary Shelley's Frankenstein (Frankenstein) (1994)
236,fantasy,romantic,Man of the House (1995)
237,western,mysterious,Mixed Nuts (1994)
238,romance,dreamy,Milk Money (1994)
239,romance,spooky,Miracle on 34th Street (1994)
240,thriller,dreamy,Miami Rhapsody (1995)
241,thriller,reflective,My Family (1995)
242,fantasy,reflective,Murder in the First (1995)
243,mystery,gloomy,Nobody's Fool (1994)
244,romance,cheerful,Nell (1994)
245,thriller,cheerful,New Jersey Drive (1995)
246,romance,reflective,New York Cop (Nyû Yôku no koppu) (1993)
247,drama,gloomy,Beyond Bedlam (1993)
248,romance,reflective,Nina Takes a Lover (1994)
249,fantasy,reflective,Natural Born Killers (1994)
250,drama,cheerful,Only You (1994)
251,romance,romantic,Once Were Warriors (1994)
252,romance,dreamy,Poison Ivy II (1996)
253,action,cheerful,Outbreak (1995)
254,action,cheerful,Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
255,horror,romantic,"Perez Family, The (1995)"
256,western,cheerful,"Pyromaniac's Love Story, A (1995)"
257,fantasy,mysterious,Pulp Fiction (1994)
258,mystery,reflective,Pushing Hands (Tui shou) (1992)
259,western,romantic,Priest (1994)
260,western,mysterious,Quiz Show (1994)
261,comedy,wild,Picture Bride (Bijo photo) (1994)
262,horror,cheerful,"Queen Margot (Reine Margot, La) (1994)"
263,mystery,energetic,"Quick and the Dead, The (1995)"
264,mystery,mysterious,Roommates (1995)
265,romance,cheerful,Ready to Wear (Pret-A-Porter) (1994)
266,thriller,reflective,Three Colors: Red (Trois couleurs: Rouge) (1994)
267,drama,spooky,Three Colors: Blue (Trois couleurs: Bleu) (1993)
268,thriller,wild,Three Colors: White (Trzy kolory: Bialy) (1994)
269,comedy,energetic,Rent-a-Kid (1995)
270,western,spooky,Relative Fear (1994)
271,western,romantic,Stuart Saves His Family (1995)
272,drama,mysterious,"Swan Princess, The (1994)"
273,mystery,dreamy,"Secret of Roan Inish, The (1994)"
274,horror,mysterious,"Specialist, The (1994)"
275,romance,gloomy,Stargate (1994)
276,fantasy,mysterious,"Santa Clause, The (1994)"
277,thriller,wild,"Shawshank Redemption, The (1994)"
278,thriller,cheerful,Shallow Grave (1994)
279,thriller,energetic,Suture (1993)
280,horror,mysterious,Strawberry and Chocolate (Fresa y chocolate) (1993)
281,thriller,gloomy,Swimming with Sharks (1995)
282,romance,romantic,"Sum of Us, The (1994)"
283,thriller,energetic,National Lampoon's Senior Trip (1995)
284,thriller,gloomy,To Live (Huozhe) (1994)
285,fantasy,energetic,Tank Girl (1995)
286,action,cheerful,Tales from the Crypt Presents: Demon Knight (1995)
287,action,romantic,Star Trek: Generations (1994)
288,thriller,gloomy,Tales from the Hood (1995)
289,comedy,wild,Tom & Viv (1994)
290,action,spooky,Village of the Damned (1995)
291,romance,gloomy,Tommy Boy (1995)
292,drama,romantic,Vanya on 42nd Street (1994)
293,action,gloomy,Underneath (1995)
294,romance,wild,"Walking Dead, The (1995)"
295,action,wild,What's Eating Gilbert Grape (1993)
296,action,reflective,Virtuosity (1995)
297,comedy,romantic,While You Were Sleeping (1995)
298,thriller,romantic,"War, The (1994)"
299,romance,wild,Double Happiness (1994)
300,romance,reflective,Muriel's Wedding (1994)
301,thriller,spooky,"Baby-Sitters Club, The (1995)"
302,drama,romantic,Ace Ventura: Pet Detective (1994)
303,mystery,gloomy,"Adventures of Priscilla, Queen of the Desert, The (1994)"
304,western,energetic,Backbeat (1993)
305,mystery,energetic,Bitter Moon (1992)
306,action,reflective,Bullets Over Broadway (1994)
307,western,mysterious,Clear and Present Danger (1994)
308,drama,wild,"Client, The (1994)"
